text,date,user_location
Anies Baswedan memiliki kebiasaan untuk memotong target dari beberapa program unggulannya. Target penonton langsung… https://t.co/9s55LfyT6s,2022-03-28 08:50:34,"ÜT: 55.753181,37.618633"
@ScherazadeMS City circuit itu hampir sama dgn street circuit. Utk Formula E disebut city circuit dgn segala aturan… https://t.co/hlt9KRrVS1,2022-03-28 08:50:23,"Denpasar, Bali"
Wagub DKI Jakarta Ahmad Riza Patria mengungkap alasan kapasitas penonton Formula E yang awalnya ditargetkan 50 ribu… https://t.co/eSgK0BJEL5,2022-03-28 08:46:14,Indonesia
"@ketut188 Dadakan dalam arti dibangun super kilat. Dan ketika jadi pun ngga mendapat respons baik.

Saya sebenarnya… https://t.co/flfUGd6p0E",2022-03-28 08:34:15,Indonesia
@HariKusdiyanto @aa_nabiel @GeiszChalifah Berarti hidup lo bukan Di Jakarta klu cuman seputaran dp 0 formula E lo Tanya😀😀,2022-03-28 08:27:14,
"@insaninsun @cibel_tompelan @ErSatArema021 @AndriHarsa @03__nakula Kl mau fokus bisa kerja buat JIS, jgn cuma buat… https://t.co/biomIZ7HYn",2022-03-28 08:13:34,"Zittau, Germany"
@ketut188 Sirkuit Formula E Jakarta bukan satu-satunya yang mengalami perubahan. Sirkuit di negara lain pun ada ban… https://t.co/4B415GDPuZ,2022-03-28 08:11:32,Indonesia
Wakil Ketua Komisi E Bidang Kesra DPRD DKI Jakarta Anggara Wicitra Sastroamidjojo merasa dibohongi lantaran target… https://t.co/cOh9kAidPz,2022-03-28 07:57:21,"Jakarta Capital Region, Indone"
"Soal Target Penonton Formula E, Wagub DKI Akui Ada Keterbatasan https://t.co/AGI7InHfYI",2022-03-28 07:46:05,"Jakarta, Indonesia"
"Mantan Menteri Pemuda dan Olahraga (Menpora) RI, Roy Suryo  meyakini Gubernur DKI Jakarta Anies Baswedan bakal meny… https://t.co/IxuEaImssE",2022-03-28 07:42:35,
@GeiszChalifah Org yang ente banggakan lbh parah krn  menghabiskan uang Fee yg banyak utk Formula E yg tidak ada ma… https://t.co/9Qpv43BFqe,2022-03-28 07:29:56,
DPRD DKI Jakarta menilai ajang Formula E masih perlu dipersiapkan dengan baik. https://t.co/EFb8LDDPzD,2022-03-28 07:26:00,"Jakarta, Indonesia"
"Pada tahun pertamanya, gelaran Formula E Jakarta tidak bisa menutup modal penyelenggaraan. Modal akan kembali dan k… https://t.co/MWqeN80lwv",2022-03-28 07:10:00,Jakarta
@FNt70 @WKitek @SesiliaS1 @NajmuddinRasul1 @Mdy_Asmara1701 Perbandingan nya tidak Apple to Apple. Mandalika level n… https://t.co/FSyNV2WJpE,2022-03-28 07:09:05,
Wakil Gubernur DKI Jakarta Ahmad Riza Patria mengakui pendapatan dari Formula E berpotensi berkurang seiring menyus… https://t.co/79zL7ttGfJ,2022-03-28 06:50:00,Jakarta
"Wagub DKI Soal Kapasitas Penonton Formula E: Tak Harus ke Lokasi, Bisa Lewat TV https://t.co/VMVzfstB2Y",2022-03-28 06:41:02,Indonesia
"@Mdy_Asmara1701 yang oasti indonesia 🇮🇩 makin mendunia rakyat makin bangga,, indonesia makin naik kelas,  mandakika… https://t.co/A5n4OcTXbV",2022-03-28 06:22:32,Jakarta
"KPK tegaskan tak main-main usut dugaan korupsi formula E jakarta
#kpk https://t.co/eZA92oLztD",2022-03-28 06:19:16,"Gorontalo, Indonesia"
@CNNIndonesia Yang jelas pembangunan formula E tidak membebankan dan menyengsarakan warga Jakarta. Dan pak Anies ti… https://t.co/TVek5e9V9j,2022-03-28 06:08:18,indonesia
Wakil Gubernur DKI Jakarta Ahmad Riza Patria mengakui pendapatan dari Formula E berpotensi berkurang seiring menyus… https://t.co/CJJtCgl8LO,2022-03-28 06:00:00,Jl. Kebahagiaan No.4-14Jakarta
Siap-siap warga Jakarta menyambut selesainya Formula E yg entah kapan waktunya bisa selesai!! 😁😁 https://t.co/oh1dO66v9o,2022-03-28 05:44:08,"Brebes, Indonesia"
@ud_cakrawala Semoga bisa bermanfaat bagi rakyat kecil jakarta entah gimana caranya FORMULA E ini.,2022-03-28 05:33:09,
Sejumlah pihak menganggap KPK berhati-hati dalam penyelidikan perkara dugaan korupsi Formula E DKI Jakarta. Pakar h… https://t.co/Y12Ic3q8NA,2022-03-28 05:16:20,Indonesia
Berikut perjalanan panjang pembangunan sirkuit Formula E di Jakarta. #TempoMetro https://t.co/rOkVqotr4e,2022-03-28 05:06:15,Indonesia
"Drun . Di negara mana mana LW gelaran balapan pakai jalanan kota itu ya jalan yg sudah ada di pakai, tinggal nambah… https://t.co/OQJ6Ctgv9Y",2022-03-28 04:20:20,
@PSI_Jakarta minyak goreng woi gimaneee???jangan formula E muluuuu...coba lu lu pade dorong dong mendag spy jkrt bo… https://t.co/6LX8u3QVax,2022-03-28 02:41:48,jakarta Indonesia
"Seiring pembangunan sirkuit Formula E yang sedang berjalan, BUMD PT Jakarta Propertindo selaku penyelenggara menyia… https://t.co/0uE9VV3ihS",2022-03-28 02:35:00,Indonesia
"@purpleColor5 @Wahydesama @ChusnulCh__ @aniesbaswedan Molooorr ..!!

Perencanaan penyelenggaraan Ajang Balap Formul… https://t.co/gNSZjT1UJj",2022-03-28 02:12:00,
"@03__nakula bikin formula E di jakarta, jakarta udah mau tenggelam kok dibangun terus wkwkwk",2022-03-28 02:03:42,"Kota Surabaya, Jawa Timur"
@RyaWiedy dipikir formula e itu badan usaha milik dki jakarta apa ya,2022-03-28 01:11:26,
"@ud_cakrawala Apa susahnya si bikin judul tuh "" FIA meminta sirkuit formula E Jakarta untuk direvisi"" ngapain pake sgala ada kata gara-gara",2022-03-28 01:04:14,
"Tuduhan si Badrun tentang praktek Pencucian Uang oleh Gibran-Kaesang , mandeg di tangan KPK , sama persisnya mandeg… https://t.co/cenwElpF2v",2022-03-28 01:02:17,
"Molooorr ..!!

Perencanaan penyelenggaraan Ajang Balap Formula E di Jakarta amburadul 

Pembangunan Sirkuit sesuai… https://t.co/8zpoFezIBD",2022-03-28 00:53:19,Indonesia 🇮🇩
@AnakLolina2 @KPK_RI Jakarta kota yg deket dg @KPK_RI seolah2 gak terjadi apa2 padahal udh rusak. Formula E apa kabar pak ?? @KPK_RI,2022-03-28 00:37:43,
"@GeiszChalifah Kita tidak bisa samakan Mandalika &amp; Formula E, Mandalika itu Pemerintah Pusat/Negara buat untuk Indo… https://t.co/xOaT13u5z4",2022-03-28 00:26:55,
"Penonton Formula E dipangkas habis dari 50 ribu orang cuma jadi 10 ribu orang.

Target dipotong-potong, kalau bayar… https://t.co/vKJstsvu47",2022-03-27 23:43:21,"Surakarta, Jawa Tengah"
"@GeiszChalifah Om G, nanti formula e panggil om gilbert dan para tokoh agama untuk doa agar luput dari hujan. Tp na… https://t.co/TY9x59c4j4",2022-03-27 23:15:34,"Jakarta Selatan, DKI Jakarta"
@81_adi @SesiliaS1 @NajmuddinRasul1 @Mdy_Asmara1701 Yaudah..untungnya formula E buat jakarta apa?,2022-03-27 22:49:20,
@aniesbaswedan Semoga ada pembuktian stlh ajang formula E ini. Minat unt menggunakan kendaraan berlistrik semakin m… https://t.co/9gNJhO8X1P,2022-03-27 21:27:34,
"@03__nakula @Iseng57185173 90% angka dr mana? Coba liat udah ada bangunan blm disitu..

https://t.co/YBBYUpf9FC",2022-03-27 17:08:13,~#
